formula,target
Ag(AuS)2,1.0
Ag(W3Br7)2,1.0
Ag0.5Ge1Pb1.75Se4,0.0
Ag2BBr,1.0
Ag2GeS3,0.0
Ag2GeTe3,0.0
Ag2Mo(I2O7)2,0.0
Ag2O,0.0
Ag2P2PbO7,1.0
Ag2PdO2,0.0
Ag2S,0.0
Ag2SnS3,0.0
Ag2SnSe3,0.0
Ag3AsO4,1.0
Ag3AsSe3,0.0
Ag3Pd,1.0
Ag3RuO4,1.0
Ag3SbS3,0.0
Ag5IO6,0.0
Ag7AsS6,0.0
Ag7AsSe6,0.0
Ag7NO11,1.0
Ag8GeS6,0.0
Ag9Ge2IO8,1.0
AgAsS2,0.0
AgAsSe2,0.0
AgAu3,1.0
AgBi(PSe3)2,0.0
AgBiPbSe3,0.0
AgBr,0.0
AgCl,0.0
AgF,0.0
AgI,0.0
AgN3,0.0
AgO,0.0
AgP15,0.0
AgPdO2,1.0
AgPt3,1.0
AgS,0.0
AgSO4,0.0
AgSbS2,0.0
AgSbTe2,0.0
AgTe,0.0
AgTe2As,0.0
Al(Ni10B7)2,1.0
Al(NiS2)2,1.0
Al0.01Cd0.99Sb0.01Te0.99,0.0
Al0.01Ga0.99P1,0.0
Al0.01In0.99P1,0.0
Al0.05Cd0.95Sb0.05Te0.95,0.0
Al0.15Ga0.85As1,0.0
Al0.1Cd0.9Sb0.1Te0.9,0.0
Al0.1In0.9P1,0.0
Al0.2Ga0.8P1,0.0
Al0.35Ga0.65As1,0.0
Al0.3Ga0.7As1,0.0
Al0.3In0.7P1,0.0
Al0.45Cd0.55Sb0.45Te0.55,0.0
Al0.4In0.6P1,0.0
Al0.5Ga0.5As1,0.0
Al0.5In0.5P1,0.0
Al0.6Ga0.4As1,0.0
Al0.6Ga0.4P1,0.0
Al0.6In0.4P1,0.0
Al0.75Ga0.25As1,0.0
Al0.99Ga0.01P1,0.0
Al0.99In0.01P1,0.0
Al10V,1.0
Al13Ru4,1.0
Al2(CuSe2)3,1.0
Al21Pt8,1.0
Al2CoIr,1.0
Al2Cr2O7,1.0
